	Restaurant_Name	Address	Rating
2	Obicà Mozzarella Bar	590 Madison Ave.New York, NY 10022	12.0
3	The Odeon	145 W. BroadwayNew York, NY 10013	12.0
4	Old Town Bar	45 E. 18th St.New York, NY 10003	12.0
5	P.D. O'Hurley's	Pier 84557 12th Ave.New York, NY 10036	12.0
6	Pacifico	269 Pacific St.Brooklyn, NY 11201	12.0
7	Palma	28 Cornelia St.New York, NY 10014	12.0
8	Pan Asian	215 E. 86th St.New York, NY 10028	12.0
9	Panchito's	103-105 MacDougal St.New York, NY 10012	12.0
0	Pangea	178 Second Ave.New York, NY 10003	12.0
1	Papatzul	55 Grand St.New York, NY 10013	12.0
2	Papillon Bistro & Bar	22 E. 54th St.New York, NY 10022	12.0
3	Parlor Steakhouse	1600 Third Ave.New York, NY 10128	12.0
4	Parnell's Pub & Restaurant	350 E. 53rd St.New York, NY 10022	12.0
5	Pata Negra	345 E. 12th St.New York, NY 10003	12.0
6	Patsy's Italian Restaurant	236 W. 56th St.New York, NY 10019	12.0
7	The Pembroke Room	The Lowell New York28 E. 63rd St.New York, NY 10065	12.0
8	Penelope	159 Lexington Ave.New York, NY 10016	12.0
9	Petite Abeille	466 Hudson St.New York, NY 100	12.0
0	Petite Abeille	134 W. BroadwayNew York, NY 10013	12.0
1	Petite Abeille	401 E. 20th St.New York, NY 10010	12.0
2	Petite Abeille	44 W. 17th St.New York, NY 10011	12.0
3	Philip Marie	569 Hudson St.New York, NY 10014	12.0
4	Philippe	33 E. 60th St.New York, NY 10022	12.0
5	Pierre Loti	300 1/2 E. 52nd St.New York, NY 10022	12.0
6	Pio Pio Salon	702 Amsterdam Ave.New York, NY 10025	12.0
7	Pongsri Thai Restaurant	106 Bayard St.New York, NY 10013	12.0
8	Pongsri Thailand Restaurant	244 W. 48th St.New York, NY 10036	12.0
9	Pop Pub	83 University Pl.New York, NY 10003	12.0
0	Pulqueria	11 Doyers St.New York, NY 10013	12.0
1	Quartino Bottega Organica	11 Bleecker St.New York, NY 10012	12.0
2	Queen	84 Court St.Brooklyn, NY 11201	12.0
3	Radegast Hall & Biergarten	113 N. Third St.Brooklyn, NY 11211	12.0
4	Ramen Setagaya	141 First Ave.New York, NY 10003	12.0
5	Restivo Ristorante	209 Seventh Ave.New York, NY 10011	12.0
6	Reunion	357 W. 44th St.New York, NY 100	12.0
7	Riki	141 E. 45th St.New York, NY 10017	12.0
8	Robert	Museum of Arts & Design2 Columbus CircleNew York, NY 10019	12.0
9	Rocket Pig	463 W. 24th St.New York, NY 10011	12.0
0	Rodeo Bar	375 Third Ave.New York, NY 10016	12.0
1	Room Service	690 Ninth Ave.New York, NY 10036	12.0
2	Rosamunde Sausage Grill	285 Bedford Ave.Brooklyn, NY 11211	12.0
3	Rosie O'Grady's	800 Seventh Ave.New York, NY 10019	12.0
4	Rue B	188 Ave. BNew York, NY 10009	12.0
5	Russian Samovar	256 W. 52nd St.New York, NY 100	12.0
6	Russian Vodka Room	265 W. 52nd St.New York, NY 10019	12.0
7	Rustic L.E.S.	124 Ridge St.New York, NY 10002	12.0
8	Rusty Knot	424 West St.New York, NY 10014	12.0
9	Saigon 48	234 W. 48th St.New York, NY 100	12.0
0	Sal Anthony's S.P.Q.R.	133 Mulberry St.New York, NY 10013	12.0
1	Sala	344 Bowery St.New York, NY 10012	12.0
2	Sammy's Shrimp Box	64 City Island Ave.Bronx, NY 10464	12.0
3	San Pietro Ristorante	18 E. 54th St.New York, NY 10022	12.0
4	Santa Fe	52 BroadwayTivoli, NY 12583	12.0
5	Sapporo	142 W. 49th St.New York, NY 10019	12.0
6	Saravanaas	81 Lexington Ave.New York, NY 10016	12.0
7	Second Avenue Kosher Deli	162 E. 33rd St.New York, NY 10016	12.0
8	Seoul Garden	34 W. 32nd St.New York, NY 10001	12.0
9	Serafina Broadway	Dream Hotel210 W. 55th St.New York, NY 10019	12.0
0	Serafina Fabulous Grill	33 E. 61st St.New York, NY 10065	12.0
1	Shalezeh	1420 Third Ave.New York, NY 10028	12.0
2	Sharaku	14 Stuyvesant St.New York, NY 10003	12.0
3	Sheng Wang	27 Eldridge St.New York, NY 100	12.0
4	Shilla	37 W. 32nd. St.New York, NY 10001	12.0
5	Shu Han Ju	465 Sixth Ave.New York, NY 10011	12.0
6	Sigiri	91 First Ave.New York, NY 10003	12.0
7	Silver Spurs	490 La Guardia Pl.New York, NY 10012	12.0
8	Skylight Diner	402 W. 34th St.New York, NY 10001	12.0
9	Souen	28 E. 13th St.New York, NY 100	12.0
0	Souen Restaurant	210 Sixth Ave.New York, NY 10014	12.0
1	South Fin Grill	300 Father Capodanno Blvd.Staten Island, NY 10305	12.0
2	Southwest NY	2 World Financial Center225 Liberty St.New York, NY 10281	12.0
3	Southern Hospitality	645 Ninth Ave.New York, NY 100	12.0
4	Spirit Cruises	Pier 61New York, NY 100	12.0
5	Spunto	65 Carmine St.New York, NY 10014	12.0
6	Super Taste	26 Eldridge St.New York, NY 100	12.0
7	Superfine	126 Front St.Brooklyn, NY 11201	12.0
8	Supper	156 E. Second St.New York, NY 10009	12.0
9	Susanna Pizzeria	182 Bleecker St.New York, NY 10012	12.0
0	Sushi West	556 Hudson St.New York, NY 10014	12.0
1	Swifty's	1007 Lexington Ave.New York, NY 100	12.0
2	Symposium Greek Restaurant	544 W. 113th St.New York, NY 10025	12.0
3	Taj	48 W. 21st St.New York, NY 10010	12.0
4	Tanoreen	7523 Third Ave.Brooklyn, NY 11209	12.0
5	Taormina	147 Mulberry St.New York, NY 100	12.0
6	Tartine	253 W. 11th St.New York, NY 10014	12.0
7	Tartinery	209 Mulberry St.New York, NY 10012	12.0
8	Tea & Sympathy	108 Greenwich Ave.New York, NY 100	12.0
9	Tello's	198 8th Ave.New York, NY 10011	12.0
0	Terakawa Ramen	18 Lexington Ave.New York, NY 10010	12.0
1	Teresa's	80 Montague St.Brooklyn, NY 11201	12.0
2	Thai Select	472 Ninth Ave.New York, NY 10018	12.0
3	The Greek Kitchen	889 10th Ave.New York, NY 10019	12.0
4	Tick Tock Diner	Wyndham New Yorker Hotel481 Eighth Ave.New York, NY 10001	12.0
5	Tiny Thai	1558 Third Ave.New York, NY 10128	12.0
6	Tiny's & the Bar Upstairs	135 W. BroadwayNew York, NY 10013	12.0
7	Tir Na nOg	5 Penn PlazaNew York, NY 10001	12.0
8	Tom's Restaurant	782 Washington Ave.Brooklyn, NY 11238	12.0
9	Tommy Bahama Restaurant & Bar	551 Fifth Ave.New York, NY 10176	12.0
0	Topaz	127 W. 56th St.New York, NY 100	12.0
1	Toro	85 Tenth Ave.New York, NY 10011	12.0
2	Tournesol	5012 Vernon Blvd.Long Island City, NY 11101	12.0
3	Trailer Park Lounge	271 W. 23rd St.New York, NY 10011	12.0
4	Trattoria Alba	233 E. 34th St.New York, NY 10016	12.0
5	Tsampa	212 E. Ninth St.New York, NY 10003	12.0
6	Tue	3 Greenwich Ave.New York, NY 10014	12.0
7	Turkish Kitchen	386 Third Ave.New York, NY 10016	12.0
8	Turks & Frogs	323 W. 11th St.New York, NY 10014	12.0
