	Restaurant_Name	Address	Rating
5	Rose's Luxury	717 8th St. SEWashington, DC 20003	14.0
6	Sette Osteria	1666 Connecticut Ave. NWWashington, DC 20009	14.0
7	Smith & Wollensky	1112 19th St. NWWashington, DC 20036	14.0
8	Sonoma Restaurant & Wine Bar	223 Pennsylvania Ave. SEWashington, DC 20003	14.0
9	Tabard Inn	Tabard Inn1739 N St. NWWashington, DC 20036	14.0
0	Taberna del Alabardero	1776 I St. NWWashington, DC 20006	14.0
1	Ted's Bulletin	505 8th St. SEWashington, DC 20003	14.0
2	Toro Toro	1300 I St. NWWashington, DC 20005	14.0
3	Urbana Restaurant & Wine Bar	Hotel Palomar2121 P St. NWWashington, DC 20037	14.0
4	Vidalia	1990 M St. NWWashington, DC 20036	14.0
5	Zaytinya	Edison Place701 Ninth St. NWWashington, DC 20001	14.0
6	Zentan	The Donovan, A Kimpton Hotel1155 14th St. NWWashington, DC 20005	14.0
0	Bibiana Osteria-Enoteca	1100 New York Ave. NWWashington, DC 20005	15.0
1	Blue Duck Tavern	Park Hyatt Washington1201 24th St. NWWashington, DC 20037	15.0
2	Bourbon Steak	Four Seasons Hotel Washington, DC2800 Pennsylvania Ave. NWWashington, DC 20007	15.0
3	Brasserie Beck	1101 K St. NWWashington, DC 20005	15.0
4	Casa Luca	1099 New York Ave. NWWashington, DC 20001	15.0
5	Charlie Palmer Steak	101 Constitution Ave. NWWashington, DC 20001	15.0
6	China Chilcano	418 7th St. NWWashington, DC 20004	15.0
7	Del Campo	777 I St. NWWashington, DC 20001	15.0
8	Equinox	818 Connecticut Ave. NWWashington, DC 20006	15.0
9	Fiola	"601 Pennsylvania Ave. NWWashington, DC 20004 | Menu

 |"	15.0
0	Kaz Sushi Bistro	1915 I St. NWWashington, DC 20006	15.0
1	Komi	1509 17th St. NWWashington, DC 20036	15.0
2	Obelisk	2029 P St. NWWashington, DC 20036	15.0
3	The Oval Room	800 Connecticut Ave. NWWashington, DC 20006	15.0
4	Pinea	W Washington D.C.515 15th St. NWWashington, DC 200	15.0
5	Restaurant Nora	2132 Florida Ave. NWWashington, DC 20008	15.0
6	701 Restaurant	701 Pennsylvania Ave. NWWashington, DC 20004	15.0
7	The Source by Wolfgang Puck	Newseum575 Pennsylvania Ave. NWWashington, DC 20001	15.0
0	Marcel's by Robert Wiedmaier	2401 Pennsylvania Ave. NWWashington, DC 20037	16.0
1	minibar by José Andrés	"855 E. St. NWWashington, DC 20004
 |"	16.0
