	Restaurant_Name	Address	Rating
5	Dirty Habit	Hotel Zelos12 Fourth St.San Francisco, CA 941	13.0
6	District	827 Washington St.Oakland, CA 94607	13.0
7	Divino Ristorante	968 Ralston Ave.Belmont, CA 940	13.0
8	Don Antonio Trattoria	455 Magnolia Ave.Larkspur, CA 949	13.0
9	Dona Tomas	5004 Telegraph Ave.Oakland, CA 94609	13.0
0	Doobu	1723 Buchanan St.San Francisco, CA 94115	13.0
1	The Dorian	2001 Chestnut St.San Francisco, CA 941	13.0
2	Dragon Beaux	5700 Geary Blvd.San Francisco, CA 94121	13.0
3	Eliza's	2877 California St.San Francisco, CA 94116	13.0
4	Ella's	500 Presidio Ave.San Francisco, CA 94115	13.0
5	Espetus Churrascaria	1686 Market St.San Francisco, CA 94102	13.0
6	Eureka Restaurant & Lounge	4063 18th St.San Francisco, CA 94114	13.0
7	Everett & Jones Barbeque	126 BroadwayOakland, CA 94607	13.0
8	Evvia Estiatorio	420 Emerson St.Palo Alto, CA 94301	13.0
9	Fang	660 Howard St.San Francisco, CA 941	13.0
0	Farina Focaccia & Cucina Italiana	3560 18th St.San Francisco, CA 94110	13.0
1	farmerbrown	25 Mason St.San Francisco, CA 94102	13.0
2	Fattoria e Mare	1095 Rollins Rd.Burlingame, CA 94010	13.0
3	The Fifth Wheel	898 San Leandro Blvd.San Leandro, CA 945	13.0
4	Fiorella	2339 Clement St.San Francisco, CA 941	13.0
5	Firenze by Night	1429 Stockton St.San Francisco, CA 941	13.0
6	First Crush Restaurant, Wine Bar & Lounge	101 Cyril Magnin St.San Francisco, CA 94102	13.0
7	The Flatiron	724 B St.San Rafael, CA 949	13.0
8	Flavor	260 Capistrano Rd.Half Moon Bay, CA 94019	13.0
9	Fleming's Prime Steakhouse & Wine Bar	Stanford Shopping Center180 El Camino RealPalo Alto, CA 943	13.0
0	Fleming's Prime Steakhouse & Wine Bar	1685 Mt. Diablo Blvd.Walnut Creek, CA 945	13.0
1	Flora	1900 Telegraph Ave.Oakland, CA 94612	13.0
2	Forbes Mill Steakhouse	200 Sycamore Valley Rd. W.Danville, CA 94526	13.0
3	The Franciscan Crab Restaurant	Pier 43 1/2San Francisco, CA 941	13.0
4	Frantoio	Holiday Inn Express152 Shoreline Hwy.Mill Valley, CA 94941	13.0
5	Fresca	3945 24th St.San Francisco, CA 94114	13.0
6	Fresca	24 W. Portal Ave.San Francisco, CA 94127	13.0
7	The Front Porch	65A 29th St.San Francisco, CA 94110	13.0
8	Garcon	1101 Valencia St.San Francisco, CA 94110	13.0
9	Gialina	2842 Diamond St.San Francisco, CA 94131	13.0
0	Ginza	303 BroadwayOakland, CA 946	13.0
1	Golden Flower	667 Jackson St.San Francisco, CA 94133	13.0
2	Grand Lake Kitchen	576 Grand Ave.Oakland, CA 94610	13.0
3	Great Eastern	649 Jackson St.San Francisco, CA 94133	13.0
4	Green Chile Kitchen	1335 Fourth St.San Rafael, CA 949	13.0
5	Guaymas	5 Main St.Tiburon, CA 94920	13.0
6	Gusto	619 Laurel St.San Carlos, CA 94070	13.0
7	Half Moon Bay Brewing Company	390 Capistrano Rd.Princeton by the Sea, CA 94019	13.0
8	Hard Water	The EmbarcaderoPier 3San Francisco, CA 94111	13.0
9	Hayes Street Grill	320 Hayes St.San Francisco, CA 94102	13.0
0	Henry's Hunan Restaurant	924 Sansome St.San Francisco, CA 941	13.0
1	The Hidden Vine Wine Bar	408 Merchant St.San Francisco, CA 941	13.0
2	Hilltop 1892	850 Lamont Ave.Novato, CA 94945	13.0
3	Hog & Rocks	3431 19th St.San Francisco, CA 94110	13.0
4	Homeroom	400 40th St.Oakland, CA 94609	13.0
5	Homma's Brown Rice Sushi	2363 Birch St.Palo Alto, CA 94306	13.0
6	Hong Kong East Ocean	3199 Powell St.Emeryville, CA 94608	13.0
7	Hong Kong Flower Lounge Restaurant	51 Millbrae Ave.Millbrae, CA 94030	13.0
8	Honor Kitchen & Cocktails	1411 Powell St.Emeryville, CA 946	13.0
9	Horatio's	60 Monarch Bay Dr.San Leandro, CA 94577	13.0
0	Hornblower Cruises & Events	Pier 3San Francisco, CA 941	13.0
1	Houlihan's	275 S. Airport Blvd.South San Francisco, CA 94080	13.0
2	Hyde Street Seafood House & Raw Bar	1509 Hyde St.San Francisco, CA 94109	13.0
3	Il Borgo	500 Fell St.San Francisco, CA 94102	13.0
4	Il Fornaio	520 Cowper St.Palo Alto, CA 94301	13.0
5	Il Fornaio	327 Lorton Ave.Burlingame, CA 94010	13.0
6	Il Fornaio	1430 Mt. Diablo Blvd.Walnut Creek, CA 94596	13.0
7	Il Fornaio	Corte Madera Town Center223 Corte Madera Town CenterCorte Madera, CA 94925	13.0
8	Il Fornaio	Levi's Plaza1265 Battery St.San Francisco, CA 94111	13.0
9	India Clay Oven	2436 Clement St.San Francisco, CA 94121	13.0
0	Indian Oven	233 Fillmore St.San Francisco, CA 94117	13.0
1	Indigo	687 McAllister St.San Francisco, CA 94102	13.0
2	Infusion Lounge	Hotel Fusion124 Ellis St.San Francisco, CA 94102	13.0
3	Iron Gate	1360 El Camino RealBelmont, CA 94002	13.0
4	Iron Springs Pub & Brewery	765A Center Blvd.Fairfax, CA 94930	13.0
5	Isa	3324 Steiner St.San Francisco, CA 94123	13.0
6	It's Italia	Half Moon Bay Inn401 Main St.Half Moon Bay, CA 94019	13.0
7	Izakaya Sozai	1500 Irving St.San Francisco, CA 94122	13.0
8	Izzy's Steak & Chophouse	3345 Steiner St.San Francisco, CA 941	13.0
9	Izzy's Steaks & Chops	525 Skyway Rd.San Carlos, CA 94070	13.0
