	Restaurant_Name	Address	Stars
22	Camino	3917 Grand Ave., Oakland 94610	0.0
23	Corso	1788 Shattuck Ave., Berkeley 94709	0.0
0	Le Garage	85 Liberty Ship Way, Ste.109, Sausalito 94965	0.0
1	Santé	100 Boyes Blvd., Sonoma 95476	0.0
2	El Quinto Pino	401 W. 24th St., New York 10011	0.0
3	Tía Pol	205 Tenth Ave., New York 10011	0.0
4	Txikito	240 Ninth Ave., New York 10001	0.0
5	Kafana	116 Ave. C, New York 10009	0.0
6	L'Artusi	228 W. 10th St., New York 10014	0.0
7	Casellula	401 W. 52nd St., New York 10019	0.0
8	Szechuan Gourmet	21 W. 39th St., New York 10018	0.0
9	Macao Trading Co.	311 Church St., New York 10013	0.0
10	Bin 71	237 Columbus Ave., New York 10023	0.0
11	Jack the Horse	66 Hicks St., Brooklyn 11201	0.0
12	No. 7	7 Greene Ave., Brooklyn 11238	0.0
13	Katsuno	103-01 Metropolitan Ave., Forest Hills 11375	0.0
14	Urubamba	86-20 37th Ave., Jackson Heights 11372	0.0
15	Vesta Trattoria	21-02 30th Ave., Astoria 11102	0.0
16	Buttermilk Channel	524 Court St., Brooklyn 11231	0.0
17	Egg	109 N. Third St., Brooklyn 11249	0.0
18	James	605 Carlton Ave., Brooklyn 11238	0.0
19	La Superior	295 Berry St., Brooklyn 11211	0.0
20	Vinegar Hill House	72 Hudson Ave., Brooklyn 11201	0.0
21	Contigo	1320 Castro St., San Francisco 94114	0.0
22	L'Ardoise	151 Noe St., San Francisco 94114	0.0
23	Nopalito	306 Broderick St., San Francisco 94117	0.0
0	Dosa	1700 Fillmore St., San Francisco 94115	0.0
1	Chiaroscuro	550 Washington St., San Francisco 94111	0.0
2	Riva Cucina	800 Heinz Ave., Berkeley 94710	0.0
3	Marinitas	218 Sir Francis Drake Blvd., San Anselmo 94960	0.0
4	Flea St. Café	3607 Alameda de las Pulgas, Menlo Park 94025	0.0
5	Lucy	6526 Yount St., Yountville 94599	0.0
6	Bottega	6525 Washington St., Yountville 94599	0.0
7	Scopa	109A Plaza St., Healdsburg 95448	0.0
8	New Malaysia	46-48 Bowery, New York 10013	0.0
9	ChikaLicious	203 E. 10th St., New York 10003	0.0
10	Rai Rai Ken	218 E. 10th St., New York 10003	0.0
11	Panca	92 Seventh Ave. South, New York 10014	0.0
12	Rockmeisha	11 Barrow St., New York 10014	0.0
13	Macondo	157 E. Houston St., New York 10002	0.0
14	Spitzer's Corner	101 Rivington St., New York 10002	0.0
15	Bukhara Grill	217 E. 49th St., New York 10017	0.0
16	Naya	1057 Second Ave., New York 10022	0.0
17	Flex Mussels	174 E. 82nd St., New York 10028	0.0
18	Christos	41-08 23rd Ave., Astoria 11105	0.0
19	Hahm Ji Bach	40-11 149th Pl., Flushing 11355	0.0
20	Parkside	107-01 Corona Ave., Corona 11368	0.0
21	RN74	301 Mission St., San Francisco 94105	0.0
22	Brown Sugar Kitchen	2534 Mandela Pkwy., Oakland 94607	0.0
23	Hong Kong East Ocean	3199 Powell St., Emeryville 94608	0.0
0	Ohgane	3915 Broadway, Oakland 94611	0.0
1	Artisan Bistro	1005 Brown Ave., Lafayette 94549	0.0
2	Kajitsu	125 E. 39th St., New York 10016	1.0
3	Roberta's	261 Moore St., Brooklyn 11206	0.0
4	Minetta Tavern	113 MacDougal St., New York 10012	1.0
5	Marea	240 Central Park South, New York 10019	2.0
6	Locanda Verde	377 Greenwich St., New York 10013	0.0
7	The Farm on Adderley	1108 Cortelyou Rd., Brooklyn 11218	0.0
