	Salary	Title	Company	Location
3984	120000		VROOM	New York, NY
3985	177500	Solutions Architect	SelbyJennings	New York, NY 10167 (Midtown area)
3986	97500	Data Science Manager	SmithHanleyAssociates	New York, NY
3987	64055		DEPTOFENVIRONMENTPROTECTION	New York, NY
3988	83500	Software Engineer/Data Scientist - Innovation	ResearchFoundationofTheCityUniversityofNew...	New York, NY
3989	115000	Senior Research Analyst	VROOM	New York, NY
3990	50000	Big Data Architect - Director - DAP	ResearchFoundationofTheCityUniversityofNew...	New York, NY
3991	105000	Sr Data Engineer	Averity	Union, NJ
3992	76941		ADMINFORCHILDREN'SSVCS	New York, NY
3993	76941	Digital Performance Marketing Professional - Digital Marketing	DEPTOFHEALTH/MENTALHYGIENE	New York, NY
3994	95000	Lead Data Scientist for Global Digital Media Company	GreenKeyResources	New York, NY 10016 (Gramercy area)
3995	55000	ASSOCIATE RESEARCHER II	Univisioncommunicationsinc	New York, NY
3996	200000	Director of Data Science and Predictive Modeling	Averity	New York, NY
3997	140000		AnalyticRecruiting	New York, NY 10017 (Midtown area)
3998	140000	Senior Drug Discovery Scientist	AnalyticRecruiting	Union, NJ
3999	76941	Software Engineer - NYC or SF	DEPTOFHEALTH/MENTALHYGIENE	New York, NY
4000	105000	Senior Research Analyst, NBC News Program	Averity	New York, NY
4001	76941		ADMINFORCHILDREN'SSVCS	New York, NY
4002	97866		ADMINFORCHILDREN'SSVCS	New York, NY
4003	140000	Research Analyst, Advertiser Sciences	Averity	Union, NJ
4005	73357		NYCDepartmentofFinance	New York, NY
4006	100000	Research Analyst	AnalyticRecruiting	New York, NY 10017 (Midtown area)
4008	157500	Clinical Scientist	SelbyJennings	New York, NY 10167 (Midtown area)
4009	150000	Risk Operations Associate	PrincetonConsulting	New York, NY 10018 (Clinton area)
4010	150000	Certifying Scientist / Toxicologist	DaytonResources	New York, NY
4011	67500	Specialist, Data Analytics	LighthouseRecruiting	Brooklyn, NY 11223 (Gravesend-Sheepshead Bay area)
4012	40480	Research Applications Analyst	ColumbiaUniversity	New York, NY
4014	120000	User Experience Researcher	RTPTechnologyCorporation	New York, NY
4015	50000	Support Engineer	ColumbiaUniversity	New York, NY
4016	175000	Market Research Analyst (Consumer Trends)	SelbyJennings	New York, NY 10167 (Midtown area)
4017	150000	Market Risk Analytics – Quantitative Analyst	SelbyJennings	New York, NY 10167 (Midtown area)
4018	73814		RutgersUniversity	Newark, NJ
4019	80000	Senior Data Scientist	CitiStaffing,LLC	New York, NY
4020	95000		SelbyJennings	New York, NY 10167 (Midtown area)
4021	58948	Business Warehouse Developer II	DEPTOFENVIRONMENTPROTECTION	New York, NY
4023	51363	Maintenance Mechanic-Spec-HVAC	POLICEDEPARTMENT	New York, NY
4024	205000		BarclaySimpson	New York, NY
4025	85000	Equity Research Analyst, Dividend Forecasting	AnalyticRecruiting	New York, NY 10017 (Midtown area)
4027	125000	Quantitative analyst assistant M/F	TheAstorGroup	New York, NY 10004 (Financial District area)
4028	200000	Web Product Manager	Execu|Search	New York, NY
4029	150000		SelbyJennings	New York, NY 10167 (Midtown area)
4030	150000		EmpiricSolutions	New York, NY
4031	130000	BlackRock – High Yield Credit Research Analyst - Associate	EmpiricSolutions	New York, NY
4032	175000	Computer Support Tech I	WorkbridgeAssociates	New York, NY
4033	225000	Assistant Registrar	Averity	New York, NY
4034	165000		EmpiricSolutions	New York, NY
4035	150000	Associate Director, IT Risk Assurance	AnalyticRecruiting	New York, NY 10017 (Midtown area)
4036	187500	Assistant Director, Practice Operations	SelbyJennings	New York, NY 10167 (Midtown area)
4037	90000	Project Scientist	ProPartnersStaffing	New York, NY
4038	137500		SelbyJennings	New York, NY 10167 (Midtown area)
4039	180000		Harnham	New York, NY
4040	87500		ParkerandLynch	New York, NY
4041	59637	Clinical Development Specialist, MR	RutgersUniversity	Newark, NJ
4042	80000	Analytical Scientist	TheNPDGroup	Port Washington, NY 11050
4043	175000		Execu|Search	New York, NY
4044	45625	Credit Risk Methodology Quantitative Analyst - VP	Preqin,Inc.	New York, NY
4045	130000	Research Scientist 4 (Part-time), New York Psychiatric Institue, Center of Prevention and Evaluation, P16467	SelbyJennings	New York, NY 10167 (Midtown area)
4046	42582	Data Scientist	MentalHealth,Officeof	New York, NY
4047	99521		DEPARTMENTOFSANITATION	New York, NY
4048	45000		SmithArnoldPartners	New York, NY
4049	75000		AccessStaffing	New York, NY 10017 (Midtown area)
4050	200000	API Steward (Chief Data Architect)	SelbyJennings	New York, NY 10167 (Midtown area)
4051	80000	VP Chief Data Officer	ProPartnersStaffing	New York, NY
4052	70604	Financial Analyst	RutgersUniversity	Newark, NJ
4053	200000	Equity Research Analyst (ESG)	Averity	New York, NY
4055	64055	VP, Client Strategy- CPG, Food & Beverage	DEPTOFENVIRONMENTPROTECTION	New York, NY
4260	64055	VP, Client Strategy- CPG, Food & Beverage	DEPTOFENVIRONMENTPROTECTION	New York, NY
4456	130000	VP, Fraud Reporting & Data Analysis Lead	AnalyticRecruiting	Dallas, TX
4457	90000		AnalyticRecruiting	Dallas, TX
4458	90000		PrimeTeamPartners	Dallas-Fort Worth, TX
4459	90000		All-InAnalytics	Dallas, TX
4460	97500	Scientist Product Safety	SelbyJennings	Dallas, TX
4461	80000	Experience Designer	LiquidAnalytics	Dallas, TX
4462	70000	Entomologist\Biologist	LiquidAnalytics	Dallas, TX
4463	150000	Quantitative Research Analyst	TEEMASolutionsGroup	Philadelphia, PA
4464	70000	Data Scientist	WorkbridgeAssociates	Philadelphia, PA
4467	125000	Data Scientist	TheBigGameHunter	Bala-Cynwyd, PA
